,title,year,genre,score,review
46,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 이거 베댓되면 첫사랑 찾으러 가겠습니다.. 
47,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 계속웃으면서ㅤㅂㅘㅅ어요 최고 ㅋㅋㅋ 
48,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 기대안하고봤는데 좋음 
49,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 최근에 본 영화중에 제일 좋았어요 
50,너의 결혼식,2018,"멜로, 로맨스",4, 관람객 진짜 재미가 없네요.. 
51,너의 결혼식,2018,"멜로, 로맨스",8, 관람객 옛 추억을 떠오르게 해주는영화.보는 내내 웃음과박보영의 귀여움과김영광의 매력이 짱!! 
52,너의 결혼식,2018,"멜로, 로맨스",7, 관람객 키차이 심쿵쓰 박보영 사랑해 현실에 저런남자없다 
53,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 긴말안한다 11시는 피하자 
54,너의 결혼식,2018,"멜로, 로맨스",1, 관람객 왜 이리 평점이 높은지 모르겠다맥락도 없고 석연치도 않고 공감도 되지않는다 
55,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 진짜 너무 늦게 올리는거지만 진짜 재밌다 이건 
56,너의 결혼식,2018,"멜로, 로맨스",9, 관람객 사느라 잊어버린 보물상자를 열어보았더니 풋풋했던 내가 한꺼번에 밀려들어와 코끝이 찡. 
57,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 별 기대없이 보기 시작했는데 .. 영화보는 내내 절로 풋풋해지고 기분이 좋아지는 그런 영화네요 웃음도 많이나고 눈물도 많이 나는 또 보고싶은 영화입니다 
58,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 기대없이봤는데. 감정이입이 되서 웃다 울다 한 영화..어느새 영화에 빠져들었던 내 자신을 발견.. 옛 사랑도 생각나고... 육아에 지쳤던 내게 설레임의 감정을 가져다준 시간.. 영화보는 내내 좋았음. 박보영의... 
59,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 배우분들 연기가 영화 속 역할이랑 잘 어울려서 재밌게 봤던 것 같아요! 
60,너의 결혼식,2018,"멜로, 로맨스",8, 관람객 배우들의 연기가 자연스럽고 재미있다 
61,너의 결혼식,2018,"멜로, 로맨스",8, 관람객 재미있게보았읍니다?? 
